Statistical profiling result from isolate-0x103000000-v8.log, (4126 ticks, 516 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub {1}
      1    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      1    0.0%    0.0%  Stub: ArrayConstructorStub
      1    0.0%    0.0%  LazyCompile: ~waterfall /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-swarm/src/connection.js:42:15
      1    0.0%    0.0%  LazyCompile: ~tryOnImmediate timers.js:618:24
      1    0.0%    0.0%  LazyCompile: ~toArrayLike /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:524:51
      1    0.0%    0.0%  LazyCompile: ~slice /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/wbuf/index.js:78:38
      1    0.0%    0.0%  LazyCompile: ~skip /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/wbuf/index.js:142:36
      1    0.0%    0.0%  LazyCompile: ~sink /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/sinks/drain.js:6:17
      1    0.0%    0.0%  LazyCompile: ~sink /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-pair/index.js:6:17
      1    0.0%    0.0%  LazyCompile: ~setImmediate /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/src/network/index.js:88:40
      1    0.0%    0.0%  LazyCompile: ~setImmediate /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/crypto/hmac.js:13:20
      1    0.0%    0.0%  LazyCompile: ~select /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multistream-select/src/select.js:8:17
      1    0.0%    0.0%  LazyCompile: ~s.write /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream-to-stream/index.js:30:22
      1    0.0%    0.0%  LazyCompile: ~runCallback timers.js:643:21
