Statistical profiling result from isolate-0x103000c00-v8.log, (5362 ticks, 650 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: ~resolve /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-defer/duplex.js:13:23
      2    0.0%    0.0%  LazyCompile: ~removeListener events.js:316:28
      2    0.0%    0.0%  LazyCompile: ~reader /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/index.js:67:19
      2    0.0%    0.0%  LazyCompile: ~readMessage /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/decode.js:99:21
      2    0.0%    0.0%  LazyCompile: ~read.push /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-pushable/index.js:34:24
      2    0.0%    0.0%  LazyCompile: ~pull.asyncMap /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-secio/src/etm.js:14:19
      2    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:134:20
      2    0.0%    0.0%  LazyCompile: ~next native array-iterator.js:28:27
      2    0.0%    0.0%  LazyCompile: ~next /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/utils.js:91:16
      2    0.0%    0.0%  LazyCompile: ~next /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/async-map.js:11:26
      2    0.0%    0.0%  LazyCompile: ~insert timers.js:119:16
      2    0.0%    0.0%  LazyCompile: ~init /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:76:38
      2    0.0%    0.0%  LazyCompile: ~from native array.js:1065:19
      2    0.0%    0.0%  LazyCompile: ~engine.messageReceived /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/src/index.js:48:51
      2    0.0%    0.0%  LazyCompile: ~emit events.js:136:44
      2    0.0%    0.0%  LazyCompile: ~createWriteReq net.js:737:24
      2    0.0%    0.0%  LazyCompile: ~byteLength buffer.js:355:20
